"date","close","volume","open","high","low"
"2017/11/21","1337.9170","0.0000","1329.0750","1338.9170","1327.7700"
"2017/11/20","1322.8110","0.0000","1312.8420","1324.7670","1311.3500"
"2017/11/17","1306.9290","0.0000","1319.9720","1320.1590","1304.8310"
"2017/11/16","1313.1130","0.0000","1301.3850","1318.1120","1301.3630"
"2017/11/15","1293.2010","0.0000","1296.0230","1298.9480","1283.7110"
"2017/11/14","1305.0010","0.0000","1301.8330","1308.5420","1295.4120"
"2017/11/13","1306.5820","0.0000","1297.4970","1308.1290","1296.4190"
"2017/11/10","1303.0640","0.0000","1298.3520","1303.9770","1295.3660"
"2017/11/09","1294.6640","0.0000","1306.0970","1306.4520","1278.6900"
"2017/11/08","1321.1290","0.0000","1314.3320","1321.8960","1310.3600"
"2017/11/07","1316.5460","0.0000","1314.6850","1319.2220","1308.0120"
"2017/11/06","1317.3410","0.0000","1314.1330","1318.3150","1302.2430"
"2017/11/03","1299.9700","0.0000","1282.4100","1300.0220","1273.1520"
"2017/11/02","1277.3400","0.0000","1270.4260","1280.6010","1263.7620"
"2017/11/01","1271.5060","0.0000","1284.1280","1284.6850","1260.0670"
"2017/10/31","1275.6050","0.0000","1265.1780","1279.3230","1265.1770"
"2017/10/30","1265.9110","0.0000","1261.5080","1270.8360","1258.9120"
"2017/10/27","1263.5540","0.0000","1248.3620","1264.6560","1239.9810"
"2017/10/26","1237.0310","0.0000","1233.9780","1239.5700","1230.5520"
"2017/10/25","1229.2660","0.0000","1236.6450","1242.2100","1216.9950"
"2017/10/24","1245.3780","0.0000","1239.6750","1247.1930","1236.0540"
"2017/10/23","1237.1400","0.0000","1237.3320","1243.9330","1231.6430"
"2017/10/20","1231.3410","0.0000","1235.4390","1237.6260","1229.4820"
"2017/10/19","1225.0540","0.0000","1216.4470","1225.1250","1206.3420"
"2017/10/18","1228.1610","0.0000","1226.7810","1230.0720","1212.1730"
"2017/10/17","1224.1190","0.0000","1223.1730","1225.0090","1218.3760"
"2017/10/16","1224.9880","0.0000","1224.5130","1225.1010","1216.7250"
"2017/10/13","1219.2150","0.0000","1218.8360","1223.3050","1213.8500"
"2017/10/12","1211.0970","0.0000","1214.1280","1219.3450","1210.4030"
"2017/10/11","1215.1890","0.0000","1204.8980","1215.5670","1204.0280"
"2017/10/10","1207.1980","0.0000","1209.4990","1210.1830","1194.8450"
"2017/10/09","1199.8590","0.0000","1194.9450","1201.0940","1194.1790"
"2017/10/06","1191.4490","0.0000","1182.0100","1191.4730","1181.9070"
"2017/10/05","1186.0700","0.0000","1188.5730","1189.5650","1179.5300"
"2017/10/04","1185.2400","0.0000","1179.6630","1185.3330","1174.6020"
"2017/10/03","1182.4280","0.0000","1180.2860","1185.5300","1177.1630"
"2017/10/02","1178.7540","0.0000","1176.6150","1184.0730","1170.7380"
"2017/09/29","1171.7380","0.0000","1165.4920","1172.8920","1160.3880"
"2017/09/28","1161.6950","0.0000","1150.2160","1162.0820","1149.0820"
"2017/09/27","1153.0020","0.0000","1141.0900","1157.5410","1137.8970"
"2017/09/26","1126.4040","0.0000","1136.1250","1138.2600","1122.3720"
"2017/09/25","1126.9370","0.0000","1144.4660","1144.7270","1122.1640"
"2017/09/22","1149.5860","0.0000","1139.4380","1151.0780","1139.2460"
"2017/09/21","1143.8680","0.0000","1146.4830","1147.7350","1134.1320"
"2017/09/20","1148.6040","0.0000","1165.0080","1165.4750","1133.2790"
"2017/09/19","1164.9800","0.0000","1163.4420","1169.0080","1157.3250"
"2017/09/18","1160.8960","0.0000","1153.7750","1168.0290","1153.7430"
"2017/09/15","1146.6850","0.0000","1130.3570","1147.6370","1130.2820"
"2017/09/14","1127.4210","0.0000","1118.3030","1133.2980","1117.0090"
"2017/09/13","1122.0420","0.0000","1117.2080","1124.6750","1113.8060"
"2017/09/12","1120.1980","0.0000","1118.3560","1123.1140","1113.5710"
"2017/09/11","1115.4600","0.0000","1103.9480","1117.5000","1103.3340"
"2017/09/08","1093.4890","0.0000","1106.3510","1107.1060","1090.1890"
"2017/09/07","1107.3380","0.0000","1108.6870","1111.4720","1102.5990"
"2017/09/06","1105.7630","0.0000","1108.5960","1110.5640","1099.8750"
"2017/09/05","1103.6300","0.0000","1112.7930","1116.7350","1094.1710"
"2017/09/01","1119.3390","0.0000","1117.7300","1124.6620","1117.4210"
"2017/08/31","1114.3120","0.0000","1106.3510","1115.5100","1105.2230"
"2017/08/30","1103.6930","0.0000","1088.3530","1104.8130","1086.8580"
"2017/08/29","1084.8630","0.0000","1070.5580","1087.3220","1070.0820"
"2017/08/28","1082.6210","0.0000","1083.6750","1083.9390","1077.2850"
"2017/08/25","1080.4980","0.0000","1090.6960","1091.8420","1078.8060"
"2017/08/24","1085.9320","0.0000","1090.5110","1091.4940","1079.5110"
"2017/08/23","1086.4050","0.0000","1072.8420","1088.7650","1072.6180"
"2017/08/22","1081.6420","0.0000","1071.9770","1083.5680","1071.7560"
"2017/08/21","1064.5200","0.0000","1073.5860","1073.6310","1057.1710"
"2017/08/18","1071.8940","0.0000","1076.9860","1079.9990","1066.7590"
"2017/08/17","1069.7010","0.0000","1091.5480","1095.8450","1069.6770"
"2017/08/16","1098.0720","0.0000","1099.8490","1102.6180","1093.1270"
"2017/08/15","1096.4280","0.0000","1095.0270","1098.3350","1088.6620"
